STT,lat,long,Địa điểm tại Xã,,Ghi chú
Lộ Pá Chiến – Mường La,,,,,
1,21.50163008,104.0350342,Bản Tìn Thị Trấn Ít Ong,Mường La,
2,21.49876497,104.0388099,,,
3,21.49923434,104.0425873,,,
4,21.4974355,104.0437573,,,
5,21.49261408,104.0467734,,,
6,21.49524134,104.0460205,,,
7,21.47952785,104.0441751,,,
8,21.4816334,104.0477801,,,
9,21.4828013,104.0497021,Xã Chiềng San,,
10,21.48584739,104.0495396,,,
11,21.48749961,104.0492928,,,
12,21.48968591,104.0483057,,,
13,21.49844397,104.0335778,,,
Lộ 177 Sơn La – Pá Chiến,,,,,
1,21.25653479,104.0637208,Xã Mường Bằng,Mai Sơn,
2,21.2821369,104.0855507,,,
3,21.2572165,104.061985,,,
4,21.25836077,104.0586444,,,
5,21.25992367,104.0567172,,,
6,21.2616123,104.0547091,,,
7,21.28731003,104.0881473,,,
8,21.3134569,104.1175926,Xã Mường Bằng,Mai Sơn,
9,21.31512106,104.1180754,,,
10,21.31904902,104.1192126,,,
11,21.32182251,104.1199583,,,
12,21.32289691,104.120838,,,
13,21.32501072,104.1226029,,,
14,21.31268228,104.1160852,,,
15,21.2679072,104.0532289,,,
16,21.2683652,104.0541124,,,
17,21.2694301,104.0561864,,,
18,21.2699781,104.0572079,,,
19,21.29283317,104.0898371,,,
20,21.29621193,104.0940428,,,
21,21.29886412,104.097351,,,
22,21.29963079,104.0981066,,,
23,21.30194207,104.1012034,Xã Chiềng Sung,,
24,21.30442859,104.1042995,,,
25,21.30701393,104.1076199,,,
26,21.30939635,104.110651,,,
27,21.31097061,104.1125822,,,
28,21.31131044,104.1133171,,,
29,21.32680467,104.1222864,,,
30,21.32769915,104.1224688,,,
31,21.32946309,104.1220558,Xã Chiềng Sung,Mai Sơn,
32,21.33080727,104.1218144,,,
33,21.33292096,104.1215408,,,
34,21.3341152,104.1214496,,,
35,21.33532943,104.1191268,,,
36,21.33602398,104.1178983,,,
37,21.3373631,104.117201,,,
38,21.3397715,104.1139233,Xã Mường Chùm,Mường La,
39,21.34069587,104.1126734,,,
40,21.34251037,104.1103012,,,
41,21.34445826,104.1076662,,,
42,21.4002332,104.0555263,,,
43,21.40099237,104.0546411,,,
44,21.40367441,104.0520287,,,
45,21.40437863,104.0513849,,,
46,21.40628649,104.0492231,,,
47,21.4082992,104.0469915,,,
48,21.41089121,104.0440571,,,
49,21.41298876,104.0421152,,,
50,21.41259422,104.0422279,,,
51,21.41342824,104.0417129,,,
52,21.41538592,104.0395778,,,
53,21.41659947,104.0382099,,,
54,21.37590015,104.0781212,Xã Mường Chùm,Mường La,
55,21.37739627,104.0767479,,,
56,21.38041342,104.0746826,,,
57,21.38410236,104.0722418,,,
