name,address,owner,wattage,2018,total_money,end_year,status,plant_lat,plant_lng,dams_lat,dams_lng
Chi?ng Ngàm,"Xã Chi?ng Ngàm, huy?n Thu?n Châu",Công ty ?i?n l?c S?n La,2,8.2,,1985,,2376915.971,477295.708,,
Su?i S?p 2,"Xã Su?i T?, huy?n  Phù yên",Công ty TNHH Xây d?ng Tr??ng Thành,14.4,38.88,230, 11/2007,,2349013.266,552844.293,2351509.491,555338.589
M??ng Sang 1,"Xã M??ng Sang, huy?n M?c Châu",Công ty C? ph?n Thu? ?i?n M??ng Sang,2.4,8.5,52.8, 8/2008,,2304868.006,560247.926,,
Su?i Tân 1,"Xã Chi?ng Khoa, huy?n Vân H?",Công ty c? ph?n th?y ?i?n Su?i Tân,2.5,9.77,55, 10/2008,,2306143.234,586015.91,,
N?m Pia,"Xã Chi?ng Hoa, huy?n M??ng La",Công ty C? ph?n thu? ?i?n N?m Pia,15,63,300, 8/2009,,2370966.057,515127.804,2372244.541,517329.129
N?m Chi?n 2,"Xã  Chi?ng San, huy?n M??ng La",Công ty C? ph?n ??u t? & Phát tri?n ?i?n Tây B?c ,32,127.5,650, 12/2009,,2376105.977,508136.994,2378326.977,509249.652
N?m Chim 1,"xã Xím Vàng, huy?n B?c Yên",Công ty TNHH ??u t? xây d?ng Sông Lam,16,80,330, 4/2010,,2359328.437,534692.112,2360773.79,536080.645
N?m Công 4,"Xã Hu?i M?t, huy?n Sông mã",Công ty C? ph?n ??u t? & Phát tri?n ?i?n Tây B?c,10,40,293, 4/2010,,2327054.165,469247.261,2326391.451,466840.993
N?m S?i,"Xã M??ng Cai, huy?n Sông Mã",Công ty C? ph?n ??u t? & Phát tri?n ?i?n Tây B?c,9,28,270, 5/2010,,2314289.384,472627.41,2313472.059,472221.558
Chi?ng Công 1,"Xã Chi?ng Công, huy?n M??ng La",Công ty C? ph?n XD&TM Lam S?n,6.4,28.30285714,125, 7/2010,,2373187.127,518698.497,2375072.665,519004.314
N?m Công 3,"Xã Hu?i M?t, huy?n Sông Mã",Công ty C? ph?n ??u t? Phát tri?n B?c Minh,8,35.5,160, 12/2010,,2325091.189,465062.632,2323875.918,463881.925
N?m Kh?t,"Xã Ng?c Chi?n, huy?n M??ng La",Công Ty C? ph?n thu? ?i?n N?m Kh?t,11,45.1,220, 12/2010,,2391622.757,517684.851,2392886.633,517585.681
Chi?ng Công 2,"Xã Chi?ng Công, huy?n M??ng La",Công ty C? ph?n XD&TM Lam S?n,5.2,22.20310345,115, 12/2010,,2372586.332,517723.192,2372928.004,518002.078
N?m Chanh,"Xã M??ng Chanh, huy?n Mai S?n",Công ty C? ph?n ??u t? và Xây d?ng  Tây B?c,2.1,6.6,60, 12/2010,,2351260.655,486857.208,2351049.192,485963.354
